settlementDate,ssp,sbp,price,NIV,NIV_lag1,NIV_roll7
2025-07-19,86.84906556803476,86.84906556803476,86.84906556803476,4396.774261315269,2209.6217756038154,1287.9375455939564
2025-07-20,97.95975524861295,97.95975524861295,97.95975524861295,8351.29355738557,4396.774261315269,2501.544970101575
2025-07-21,71.09517722077096,71.09517722077096,71.09517722077096,-7543.166431001333,8351.29355738557,1787.7108852289289
2025-07-22,86.70279101704341,86.70279101704341,86.70279101704341,239.71380343897684,-7543.166431001333,658.8667552169705
2025-07-23,90.65106727914326,90.65106727914326,90.65106727914326,2425.5773139630437,239.71380343897684,1222.7113186405622
2025-07-24,86.12633551231859,86.12633551231859,86.12633551231859,-547.4098598649638,2425.5773139630437,1361.7720601200547
2025-07-25,79.10902400460307,79.10902400460307,79.10902400460307,-6229.956711222359,-547.4098598649638,156.11799057345812
2025-07-26,79.74410707667779,79.74410707667779,79.74410707667779,-3604.0209742884367,-6229.956711222359,-986.8527573699284
2025-07-27,82.94624204213694,82.94624204213694,82.94624204213694,32.6294828742254,-3604.0209742884367,-2175.2333394429775
2025-07-28,71.54786563730723,71.54786563730723,71.54786563730723,-6924.8798836803,32.6294828742254,-2086.906689825687
2025-07-29,74.79094551369231,74.79094551369231,74.79094551369231,-6854.072832582768,-6924.8798836803,-3100.3047806859363
2025-07-30,73.54160890342926,73.54160890342926,73.54160890342926,-6794.7516361770895,-6854.072832582768,-4417.494630705955
2025-08-01,90.13884905299615,90.13884905299615,90.13884905299615,5772.026768369137,-6794.7516361770895,-3514.717969529655
2025-08-02,48.31835019272287,48.31835019272287,48.31835019272287,-7615.152262889044,5772.026768369137,-3712.6030483391814
2025-08-03,52.808997919629604,52.808997919629604,52.808997919629604,-2473.7194460371447,-7615.152262889044,-3551.1314014461395
2025-08-04,35.23483825128839,35.23483825128839,35.23483825128839,-6128.26211686681,-2473.7194460371447,-4431.258772837717
2025-08-05,27.73746909477291,27.73746909477291,27.73746909477291,-6787.286876017781,-6128.26211686681,-4411.6026288859275
2025-08-06,50.92757011683341,50.92757011683341,50.92757011683341,-7795.234081894942,-6787.286876017781,-4546.054235930525
2025-08-07,50.400557359471584,50.400557359471584,50.400557359471584,-6058.340240660336,-7795.234081894942,-4440.85260799956
2025-08-08,78.58717083975787,78.58717083975787,78.58717083975787,1747.7746277656097,-6058.340240660336,-5015.745770942921
2025-08-09,40.71840278347424,40.71840278347424,40.71840278347424,-9933.670803484309,1747.7746277656097,-5346.962705313673
2025-08-10,71.36283267904471,71.36283267904471,71.36283267904471,36.19367392566727,-9933.670803484309,-4988.403688176128
2025-08-11,87.39206130746591,87.39206130746591,87.39206130746591,-719.7014317608131,36.19367392566727,-4215.752161732415
2025-08-12,84.13558735258368,84.13558735258368,84.13558735258368,-2551.9083428287827,-719.7014317608131,-3610.698085562558
2025-08-13,100.43744851286466,100.43744851286466,100.43744851286466,3429.7488479338017,-2551.9083428287827,-2007.129095587023
2025-08-14,79.16838374892897,79.16838374892897,79.16838374892897,-5177.904847584158,3429.7488479338017,-1881.3526108618546
2025-08-15,72.57643681343912,72.57643681343912,72.57643681343912,-5796.203559419223,-5177.904847584158,-2959.0637804596877
2025-08-16,87.04687948757292,87.04687948757292,87.04687948757292,2651.3111349561354,-5796.203559419223,-1161.2092178253386
2025-08-17,77.46406714714922,77.46406714714922,77.46406714714922,308.7865918920355,2651.3111349561354,-1122.2673724015717
2025-08-18,96.81133022513802,96.81133022513802,96.81133022513802,3752.172301231383,308.7865918920355,-483.42826768840087
2025-08-19,75.4728295797083,75.4728295797083,75.4728295797083,-4698.192234187478,3752.172301231383,-790.0402521682144
2025-08-20,100.73814771696794,100.73814771696794,100.73814771696794,4321.37353785929,-4698.192234187478,-662.6652964645733
2025-08-21,67.68686849020973,67.68686849020973,67.68686849020973,-13376.812366543692,4321.37353785929,-1833.937799173078
2025-08-22,89.08473926908283,89.08473926908283,89.08473926908283,-2425.5179869637377,-13376.812366543692,-1352.4112888222942
2025-08-23,80.63430676611928,80.63430676611928,80.63430676611928,-3345.8167396023487,-2425.5179869637377,-2209.143842330649
2025-08-24,84.22964280871616,84.22964280871616,84.22964280871616,-1244.4887966363249,-3345.8167396023487,-2431.040326406129
2025-08-25,78.92767431044588,78.92767431044588,78.92767431044588,5872.211491111926,-1244.4887966363249,-2128.177584994623
2025-08-26,104.94157191647412,104.94157191647412,104.94157191647412,8845.040200738877,5872.211491111926,-193.43009429085836
2025-08-27,75.1041463761933,75.1041463761933,75.1041463761933,-8514.689925515439,8845.040200738877,-2027.1534462015338
2025-08-28,72.78243313318099,72.78243313318099,72.78243313318099,-9259.32842004363,-8514.689925515439,-1438.941453844382
2025-08-29,83.10102820086897,83.10102820086897,83.10102820086897,1514.373976811568,-9259.32842004363,-876.0997447336241
2025-08-30,41.13717284954027,41.13717284954027,41.13717284954027,-9025.859462515184,1514.373976811568,-1687.5344194354577
2025-08-31,36.855869448773625,36.855869448773625,36.855869448773625,-1637.430157410969,-9025.859462515184,-1743.6688995461209
2025-09-01,41.58661232480562,41.58661232480562,41.58661232480562,-12101.029316872193,-1637.430157410969,-4311.274729258138
2025-09-02,80.75958691424434,80.75958691424434,80.75958691424434,-94.15709960522409,-12101.029316872193,-5588.302915021581
2025-09-03,99.08151333203021,99.08151333203021,99.08151333203021,9155.496154019813,-94.15709960522409,-3063.9906179451164
2025-09-04,77.2073786680822,77.2073786680822,77.2073786680822,-2802.9708972557146,9155.496154019813,-2141.653828975414
2025-09-05,74.11143653615908,74.11143653615908,74.11143653615908,-4188.1969769541065,-2802.9708972557146,-2956.30682237051
2025-09-06,17.5890390369482,17.5890390369482,17.5890390369482,-20814.57176091746,-4188.1969769541065,-4640.408579285121
2025-09-07,29.588541507905934,29.588541507905934,29.588541507905934,-6336.365140372499,-20814.57176091746,-5311.685005422483
2025-09-08,84.41070553109957,84.41070553109957,84.41070553109957,-3078.8536119399623,-6336.365140372499,-4022.8027618607352
2025-09-09,74.69403920894204,74.69403920894204,74.69403920894204,-3515.583766701835,-3078.8536119399623,-4511.578000017394
2025-09-10,50.474741854948945,50.474741854948945,50.474741854948945,-9776.075819840047,-3515.583766701835,-7216.088281997375
2025-09-11,4.550044646961184,4.550044646961184,4.550044646961184,-15682.505421506648,-9776.075819840047,-9056.021785461793
2025-09-12,18.554308751106834,18.554308751106834,18.554308751106834,-17411.981928885296,-15682.505421506648,-10945.133921451963
2025-09-13,32.71739808652832,32.71739808652832,32.71739808652832,-7613.736269035954,-17411.981928885296,-9059.300279754605
2025-09-14,77.09510181215232,77.09510181215232,77.09510181215232,3045.751833745165,-7613.736269035954,-7718.997854880654
2025-09-15,31.99871970268911,31.99871970268911,31.99871970268911,165.28266293965692,3045.751833745165,-7255.549815612137
2025-09-16,33.33092906004624,33.33092906004624,33.33092906004624,-10031.906080957408,165.28266293965692,-8186.453003362933
2025-09-17,65.50300271297066,65.50300271297066,65.50300271297066,-788.4692495796477,-10031.906080957408,-6902.509207611447
2025-09-18,71.66245833767992,71.66245833767992,71.66245833767992,1649.8852336247937,-788.4692495796477,-4426.4533997355275
2025-09-19,72.71770265558506,72.71770265558506,72.71770265558506,4381.830302939745,1649.8852336247937,-1313.0516523319498
2025-09-20,71.4833685086369,71.4833685086369,71.4833685086369,-6810.76827218833,4381.830302939745,-1198.341938496575
2025-09-21,39.71704058976028,39.71704058976028,39.71704058976028,-6716.308069879901,-6810.76827218833,-2592.921924728728
2025-09-22,71.23732301854378,71.23732301854378,71.23732301854378,-3181.801736032377,-6716.308069879901,-3071.0768388675892
2025-09-23,91.49092459159539,91.49092459159539,91.49092459159539,3217.347810230177,-3181.801736032377,-1178.3262829836488
2025-09-24,93.5272217750383,93.5272217750383,93.5272217750383,2812.8866800853593,3217.347810230177,-663.8468644600762
2025-09-25,88.573810931313,88.573810931313,88.573810931313,4841.393622836898,2812.8866800853593,-207.91709457263278
2025-09-26,89.17878733417984,89.17878733417984,89.17878733417984,582.5025414604114,4841.393622836898,-750.6782033553947
2025-09-27,82.55146850795846,82.55146850795846,82.55146850795846,-1777.1712780998587,582.5025414604114,-31.592918485613023
2025-09-28,95.73614802890891,95.73614802890891,95.73614802890891,3168.176213290285,-1777.1712780998587,1380.4762648244136
